grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
Knight Detroit Museum Fund,https://knightfoundation.org/grants/5628,,10/01/2012 - 09/30/2017,"$ 2,250,000.00",Arts,Knight Arts Challenge,"To experiment with new programs that will take the institute’s world-class art collection out of the museum and into the community

	As museums seek meaningful ways to engage with the public, the Detroit Institute of Arts found a winning model with its Inside|Out program, which brings high-quality reproductions of masterpieces from the museum’s collection to the streets and parks of metro Detroit. The program, which recently completed its third year and is sponsored by Knight Foundation, has fostered concerts, poetry readings, talks, tours and art installations, as well as a sense of pride in the community and ownership of the museum. Now the institute wants to build on that success by experimenting with a range of programs to inspire creativity, knowledge of art and the museum’s collection, and a dialogue about local arts and culture.

	The Community Foundation of Southeastern Michigan will create the Knight Detroit Museum Fund, in support of increased community engagement using new models at the Detroit Institute of Arts, to take the art out of the museum and into the community",Community Foundation for Southeastern Michigan
Visiting Artists for Detroit School of Arts,https://knightfoundation.org/grants/5629,,10/01/2012 - 09/30/2015,"$ 2,250,000.00",Arts,Knight Arts Challenge,"To support artistic instruction by professional artists from key organizations such as Sphinx, the Mosaic Theater, the Michigan Opera and others at the Detroit School of Arts

	A coalition – including the University of Michigan, the Detroit Arts Corridor Organization, Detroit Symphony Orchestra, Detroit Institute of Arts, Michigan Opera Theatre, Sphinx, Mosaic Youth Theatre, among others and the school district – is working to position the Detroit School of Arts as one of the nation’s preeminent arts high schools. Knight funding will help forward that mission, by bringing professional artists from these key organizations into the classrooms, after school and during the summer, as mentors and role models. The project will strengthen the pipeline of talented local artists building the vibrant local arts community.",University of Michigan - Ann Arbor
Wordpress feedback and suggestion module,https://knightfoundation.org/grants/5634,,10/01/2012 - 11/30/2012,"$ 25,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To develop a Wordpress module that allows news organizations to accept feedback, corrections, and translation in-line with text, and incorporate them into content on the fly",WIRED / Advance Magazine Publishers
Knight Detroit Children's Book Fair,https://knightfoundation.org/grants/5648,,10/01/2012 - 09/30/2017,"$ 750,000.00",Arts,Knight Arts Challenge,"To use the arts to foster an interest in reading by weaving interactive cultural experiences throughout the museum’s Children’s Book Fair

	The museum’s Children’s Book Fair engages kids from throughout the city with featured writers, book giveaways, and a range of performing artists. Families also participate in hands-on arts projects that focus on the relationships between art, language and reading. Knight funding will help the fair build on that success by developing interpretative arts experiences that seek to foster creativity and compel an interest in reading.",Charles H. Wright Museum of African American History
Florida State University's Garnet and Gold Scholar Society,https://knightfoundation.org/grants/5234,,10/01/2012 - 09/30/2013,"$ 250,000.00",Communities,,For the Community Engagement Experience portion of Florida State University's Garnet and Gold Scholar Society,Florida State University Foundation
The Synapse Performance,https://knightfoundation.org/grants/5482,,10/01/2012 - 09/30/2015,"$ 50,000.00",Arts,Knight Arts Challenge,"To position South Florida as a hub for dance by pairing South Florida-based choreographers with national and international dance artists for seasonal performances.

	To position South Florida as a hub for dance, Thought Loom will pair South Florida-based choreographers with national and international dance artists for seasonal performances. Three South Florida-based choreographers will be selected to create original works using dance artists hired from cities outside of Florida. Each will work with his/her cast for several weeks, culminating with a run of live performances.
	 
	Thought Loom is a virtual/physical platform whose mission is to cultivate the generation, execution, and communications of ideas that nurture and push the field of dance. It hopes to create a generative pipeline between and among dance artists from around the globe, as well as thinkers from other disciplines.  Thought Loom is the brainchild of choreographer Letty Bassart and is being built with bicontinental dance artists, Lydia Bittner Baird and Ilana Reynolds; as well as generous contributors, designers and co-dreamers.","Thought Loom, Inc."
Murals for Dorsey Park,https://knightfoundation.org/grants/5513,,10/01/2012 - 09/30/2015,"$ 35,000.00",Arts,Knight Arts Challenge,"To engage and inspire young artists by having them create murals in Overtown's historic Dorsey Park commemorate it as the home of South Florida's Negro League baseball team.

	To engage and inspire young artists, Urgent Inc. will help young people create murals in Overtown’s historic Dorsey Park to commemorate it as the home of South Florida’s Negro League baseball team. Artist Kadir Nelson will help mentor young people as they work on the murals and learn about a time and place that connects them to their cultural past. The 30 murals created will be officially dedicated to the players of the Negro and Cuban leagues.
	 
	URGENT Inc. is a community-based organization whose mission is to empower young minds to transform communities. It does this by promoting shared leadership through empowerment, education and engagement to create collective well-being. Urgent Inc. chooses to work with individuals and communities that are most in need of transformation because its vision is that all people will have the social, educational and economic resources to thrive. It believes elders are the anchors of communities, parents are the coaches, but young people are the drivers of change.","Urgent, Inc."
The Hip-Hop Symphony,https://knightfoundation.org/grants/5518,,10/01/2012 - 09/30/2014,"$ 10,000.00",Arts,Knight Arts Challenge,"To celebrate South Florida's broad cultural traditions in a Hip Hop Symphony that combines dance and music in a show for all ages.

	To celebrate South Florida’s cultural traditions, the Hip-Hop Symphony combines hip-hop dance and music with classical music and instrumentation. The show features 13 versatile hip-hop and contemporary dancers, a 20-piece orchestra, a five-piece rock band and seven-voice choir. Several tickets will also be donated to youth organizations as a way to engage young people in theater productions and classical music.

	The Pablo Malco Foundation strives to provide performing arts excellence. from beginning-level classes with master instructors to professional performance opportunities for novice and professionals. The foundation is committed to helping youths grow with positive morals, dignity, confidence, self-esteem and self-discipline; to providing quality classes in which aspiring performers may continue their education; to providing paid work opportunities for performing artists in our community who live from their art or craft; and to producing fun-filled world-class musical productions for the entire family to enjoy.",Pablo Malco Foundation
Liberty City Renaissance,https://knightfoundation.org/grants/5519,,10/01/2012 - 09/30/2014,"$ 75,000.00",Arts,Knight Arts Challenge,"To share local history through the arts by creating the Liberty City Renaissance, a year-round series featuring local African-American artists and culture.

	The Miami Children’s Initiative will launch a cultural movement that shares local history using the arts, inspires and showcases local African-American artists, and encourages the creativity of the next generation of performing and visual artists. The project includes a jazz series led by the musician Nicole Henry and the Orchestral Academy for Liberty City’s kids from 4- to 18-years-old in partnership with the Miami Music Project.  The initiative will establish Liberty City Renaissance Arts Council responsible for commissioning work from local artists and maintaining a robust and lively online presence.

	The Miami Children’s Initiative is creating a community‐based network that develops, coordinates and provides quality education, accessible health care, youth development programs, opportunities for employment – all ingredients for safe neighborhoods for children and families.",The Miami Children's Initiative
Miami Dance Mecca,https://knightfoundation.org/grants/5524,,10/01/2012 - 09/30/2014,"$ 45,000.00",Arts,Knight Arts Challenge,"To build Miami's reputation as an emerging center for contemporary dance by creating new works, helping dancers develop professionally and launching a Brazilian dance festival.

	To build Miami’s reputation as an emerging center for contemporary dance, the Augusto Soledade Brazzdance company will create new works and help dancers develop professionally. Company classes, master class series, new work and repertory performances will be available to professional and advanced dancers as will internship opportunities. The project seeks to increase the ranks of local professional dancers who remain in Miami to pursue a dance career and simultaneously attract out-of-town dancers into the community.",Brazz Dance Theater Incorporated
Coral Gables Art Cinema,https://knightfoundation.org/grants/5525,,10/01/2012 - 09/30/2016,"$ 150,000.00",Arts,Knight Arts Challenge,"To bring high quality, unique and culturally diverse films to the community by increasing programming and educational outreach at the theater.

	The Coral Gables Art Cinema, one of South Florida’s leading, first-run alternative movie theaters, will expand to include a number of new components. With challenge funding, the nonprofit arts center will produce a three-day annual event as part of existing family programming, in partnership with the New York International Children’s Film Festival; and launch initiatives to support feature film production and distribution, including visiting director, screenwriter and producer residencies, in conjunction with existing exhibition programs.

	Coral Gables Cinemateque Inc. is a nonprofit that presents and supports the media arts in South Florida, primarily by developing and running the two-year old Coral Gables Art Cinema as a venue for alternative film serving the whole community. This state-of-the-art, 141-seat theater is runs seven days a week, presenting premieres of quality American independent and international features that speak to the linguistic and cultural diversity of the region. Most films are not generally available at other venues in South Florida. Also programmed are classic films, family events, educational activities and film festival weeks.",Coral Gables Cinemateque
"An Open, Friendly Space for Filmmakers",https://knightfoundation.org/grants/5538,,10/01/2012 - 09/30/2014,"$ 35,000.00",Arts,Knight Arts Challenge,"To foster the local film scene and build community among filmmakers by creating a monthly gathering where producers screen their films in a variety of locations.

	To help build the local film community, Open Lab will create monthly gatherings where filmmakers screen their work. Monthly events will include work-in-progress screenings with feedback sessions and case studies from industry experts.  These open get togethers will be held at a different space each month, engaging audiences from various parts of the community and introducing them to cultural organizations and arts venues around Miami. The project will culminate with visits from three leading industry experts, connecting the Open Lab community with the national resources and knowledge on how to market and distribute completed films.

	Open Lab’s mission is to propel Miami's existing film and video art scene nationally and internationally with monthly gatherings at various locations where filmmakers screen their work, exchange ideas and engage South Florida’s diverse voices to produce new work.",Open Lab
Expanded Cultural Programming,https://knightfoundation.org/grants/5539,,10/01/2012 - 09/30/2014,"$ 150,000.00",Arts,Knight Arts Challenge,"To bring together nature and art by strengthening Fairchild Tropical Botanic Garden's music program under conductor Teddy Abrams.

	To bring together nature and art, Fairchild Tropical Botanic Garden will strengthen its GardenMusic program under conductor Teddy Abrams. Musical performances and concerts will be available throughout the year. Additional fine art exhibitions and an annual weeklong festival will celebrate various forms of music that integrate the visual, dramatic and performance arts.

	Fairchild's mission is to save tropical plant diversity by exploring, explaining and conserving the world of tropical plants; fundamental to this task is inspiring a greater understanding and love of plants and gardening so that all can enjoy the beauty and bounty of the tropical world.",Fairchild Tropical Botanic Garden
Mini Theater in a Shipping Container,https://knightfoundation.org/grants/5543,,10/01/2012 - 09/30/2014,"$ 100,000.00",Arts,Knight Arts Challenge,"To bring Spanish theater into the community by offering a series of exciting yet short plays to small audiences in a unique venue - a 150-square foot shipping container.

	Lasting 15 minutes each, the plays will be presented three times a year in both English and Spanish.  Actors from around the world will be invited to participate as a way to support local creativity and cultural exchange.

	CCEMiami’s mission is to contribute, through culture and science, to social and human development in South Florida. It seeks to disseminate information on the breadth and diversity of Spanish culture in Miami, to cooperate with local actors and cultural institutions, and to promote the exchange of cultural ideas, projects and proposals from different countries.",Centro Cultural Espanol de Cooperacion Iberoamericana Miami (CCEM)
Miami on Stage Knight New Works,https://knightfoundation.org/grants/5544,,10/01/2012 - 09/30/2015,"$ 100,000.00",Arts,Knight Arts Challenge,"To strengthen the local performing arts by providing seed funding for new works for local companies and artists.

	FUNDarte will use Knight Foundation funding to strengthen the performing arts scene by commissioning three original contemporary performance works by Miami-based artist companies. As an outgrowth of FUNDarte’s three-year-old Miami on Stage series, which presents completed full-length works by local artists, the Knight New Works component will select three projects to fully produce, present and tour to two additional locations in greater Miami. FUNDarte will also offer managerial and logistical support to the artist-driven works.

	FUNDarte is a multidisciplinary nonprofit dedicated to producing, presenting and promoting music, theater, dance, film and visual arts that speak to Miami’s diverse cultures, with a special emphasis on artists from Latin America, the Caribbean and Spain. FUNDarte works to nurture emerging artists and those with little or no exposure to South Florida audiences, to facilitate intercultural and international exchanges, and to provide local audiences and artists with educational opportunities that expand their creative, critical and social perspectives.","FUNDarte, Inc."
Strengthening Alternative Theater,https://knightfoundation.org/grants/5548,,10/01/2012 - 11/30/2014,"$ 25,000.00",Arts,Knight Arts Challenge,"To strengthen Miami's alternative theater scene by providing funding to develop a new theater company dedicated to innovating and redefining the theatrical experience.

	The Project [theatre] will use challenge funding to expand efforts to redefine the local theatrical experience. To attract both new and existing theatergoers, the Project will create large-scale immersive theater events in which the audience literally follows and experiences a story throughout its environment. The organization will also expand its Beer & Cigarettes project that blurs the line between spectator and spectacle. During these immersive, site-specific performances, the audience acts as voyeurs and stories unfold throughout a bar over the course of a night. These nontraditional theatrical experiences intend to help establish Miami as a place for theatrical innovation.""

	The Project [theatre] works to redefine the theatrical experience in Greater Miami.",The Project [theatre]
Connect2Compete,https://knightfoundation.org/grants/5568,,10/01/2012 - 09/30/2016,"$ 3,000,000.00",Communities,,"For Connect2Compete, a national public-private coalition to make Internet services, equipment and training affordable and compelling for low-income families, with a focus on Knight communities","Connect to Compete, Inc."
Zeitgeist,https://knightfoundation.org/grants/5616,,10/01/2012 - 01/15/2014,"$ 12,000.00",Arts,,For the purchase of a Steinway B grand piano for their presenting space and to be matched 1:1 upon evidence of matching funds from individual and institutional sources,Zeitgeist
Sphinx Organization,https://knightfoundation.org/grants/5619,,10/01/2012 - 09/30/2017,"$ 1,000,000.00",Arts,Knight Arts Challenge,"To support the development of young musicians of color through Detroit’s annual Sphinx Competition

	The annual Sphinx Competition seeks to increase diversity on concert stages by providing new opportunities to young Black and Latino string players. The annual competition identifies, recognizes, rewards and nurtures young and talented musicians of color by providing 18 musicians the opportunity to compete and perform live on stage before audiences and judges for prizes and performance opportunities. Since 1998, the competition has aided and developed more than 200 young classical musicians of color, clearly demonstrating the incredible diversity of talent and artistic excellence that exists within Black and Latino communities. Knight Foundation’s funding will support all aspects and activities of the Sphinx Competition, including the Competition's Honor and Final concert performances that reach over 3,000 in live audiences and 2 million in broadcast audiences annually.

	The Community Foundation for Southeastern Michigan will create the Knight Detroit Young Musicians of Color Fund, in support of the artistic and professional development of young musicians of color through Detroit's annual Sphinx Competition",Community Foundation for Southeastern Michigan
FOCAS 2012,https://knightfoundation.org/grants/5621,,10/01/2012 - 01/31/2013,"$ 215,000.00",Communities,,"To support the 2012 Forum on Communication and Society (FOCAS) event in Aspen, Colorado, focused on next steps for the open government field",Aspen Institute
Knight Miami Classical Music Fund,https://knightfoundation.org/grants/5622,,10/01/2012 - 09/30/2017,"$ 2,000,000.00",Arts,Knight Arts Challenge,"To create the Knight Miami Classical Music donor advised fund, in support of the expansion of the Cleveland Orchestra's presence in Miami, as its winter home",The Miami Foundation
Detroit Symphony Orchestra,https://knightfoundation.org/grants/5623,,10/01/2012 - 09/30/2017,"$ 2,250,000.00",Arts,Knight Arts Challenge,"To expand the audience for classical music by offering the symphony experience globally through expanded webcast and mobile content

	As symphony orchestras contemplate how to better engage audiences in the digital age, Detroit’s is embracing new opportunities to expand both access and interaction. Last year, the symphony reached 120,000 music lovers from 75 countries through webcasts of its performances, sponsored by Knight Foundation. New funding will enhance the organization’s digital outreach, by expanding the webcast through new, worldwide distributors in addition to creating preconcert and intermission content, enhancing its DSO to GO app with mobile ticketing, experimenting with HD viewing parties and simulcasting concerts outdoors.

	The Community Foundation for Southeastern Michigan will create the Knight Foundation Digital Innovation Fund, in support of the Detroit Symphony Orchestra's expanded capacity for digital experimentation in the area of audience engagement.",Community Foundation for Southeastern Michigan
Michigan Opera Theatre,https://knightfoundation.org/grants/5627,,10/01/2012 - 09/30/2017,"$ 1,000,000.00",Arts,Knight Arts Challenge,"To bring the opera into the community through performances in community spaces and commissioning a new opera based on the city’s rich cultural history

	The Community Foundation of Southeastern Michigan will create the Knight Detroit Opera Fund to support the Michigan Opera Theatre, build awareness of opera within Detroit's urban core with partnerships leading to new performances and expanding audiences",Community Foundation for Southeastern Michigan
The Wait We Carry,https://knightfoundation.org/grants/5635,,10/01/2012 - 01/31/2014,"$ 250,000.00","Technology, Journalism",,"To develop a platform and database that tracks veterans' wait times for VA health and mental care, education benefits, and other services",Iraq and Afghanistan Veterans of America
University Park Alliance,https://knightfoundation.org/grants/5489,,10/01/2012 - 09/30/2013,"$ 250,000.00",Communities,,To provide bridge funding to University Park Alliance for interim operations support while working toward a larger grant supporting revitalization efforts through urban re-investment and community engagement,University of Akron Foundation
Demystifying Indian Classical Dance,https://knightfoundation.org/grants/5510,,10/01/2012 - 11/30/2013,"$ 25,000.00",Arts,Knight Arts Challenge,"To promote cross-cultural understanding by showcasing Indian Classical dances through adaptations of western fairy tales.

	To promote cross-cultural understanding, Ranjana Warier will showcase traditional Indian dance through the stories of Western fairy tales. Leading professional Indian classical dancers will collaborate on the performance, while a lecture series will seek to demystify the complexity of traditional Indian storylines. The resulting stage shows will maintain the integrity of the ancient art form while breaking it down to make it more enjoyable for all ages.

	Ranjana Warier was introduced to Indian classical dance at the age of 6. She has been an active performer/choreographer at events and festivals in United States and abroad. Recognized for her efforts to educate children on culture and history of India through dance, she thrives on preserving and promoting India’s artistic traditions. She has won grants from local government organizations and is the artistic director of Rhythms School of Dance in South Florida. Warier, a cyber security engineer for Miami-Dade County, has an engineering degree and a master’s degree in computer science",Ranjana Warier
Introducing Travelers and Residents to Global and Local Rhythms,https://knightfoundation.org/grants/5528,,10/01/2012 - 11/30/2014,"$ 40,000.00",Arts,Knight Arts Challenge,"To engage and connect audiences to global and local rhythms by presenting performances of world music to travelers at Miami International Airport.

	To engage and connect audiences to global and local rhythms, Miami International Airport will present performances of world music to its travelers. Building on the success of the airport’s Random Acts of Culture performances, the project will coordinate elements of live performances and formulate a list of key ensembles and areas for performance. Additional exhibits will offer a range of visual experiences including a contemporary fine arts show and children’s arts and crafts from around the world. Presentations will highlight global issues.  

	The primary mission of the Miami International Airport’s Division of Fine Arts and Cultural Affairs is to humanize and enrich the airport environment. The division does this by: providing a cultural and educational experience for passengers and the public; creating an exhibition program unique to Miami that reflects the history, cultural life and resources of Miami-Dade County; addressing the interests of the traveling public with exhibitions that will communicate culture, environment and art resources of an international scope with special emphasis on the areas served by Miami International Airport.",Miami International Airport
Hot Topics Artist Series,https://knightfoundation.org/grants/5529,,10/01/2012 - 09/30/2014,"$ 20,000.00",Arts,Knight Arts Challenge,"To share the work of dynamic, national visual artists by hosting ""Hot Topic,"" an ongoing lecture series.

	To foster conversation around the visual arts, the Art and Culture Center of Hollywood will host an ongoing lecture series featuring nationally and internationally recognized artists. Audiences will not only hear the artist’s stories, but learn about the trends influencing the direction of contemporary visual art. The project builds upon the center’s previous Knight Arts Challenge grant that establishes a series of Hot Topics discussions.

	The Art and Culture Center of Hollywood is an independent nonprofit that operates visual arts galleries in the 1924 Kagey House, an Art School adjacent to the main facility, and a 500-seat theater in downtown Hollywood. The center, incorporated in 1978, is one of eight organizations designated a Major Cultural Institution by the Broward Cultural Division. Each year, ACCH presents more than a dozen contemporary gallery exhibitions; more than 70 arts-education programs for children and adults; and the free or low-cost Family Performance Series.",Art and Culture Center of Hollywood
Miami Theater Center: Sandbox Series,https://knightfoundation.org/grants/5530,,10/01/2012 - 09/30/2015,"$ 100,000.00",Arts,Knight Arts Challenge,"To help nurture small performing arts groups by providing them with a small, well-equipped black box theater at discounted rates.

	To help nurture individual artists and small performing arts groups, Miami Theater Center (MTC) will provide a small, well-equipped black box theater at discounted rates. The theater will make available its 70-seat space to promising performing artists and provide public relations, marketing and production support.

	Talented artists will be chosen to produce and perform their work in the theater and be provided a commissioning fee and rehearsal and performance space for six shows. MTC, under the leadership of artistic director Stephanie Ansin, produces classical and contemporary works that entertain and educate audiences of all ages and abilities.",Miami Theater Center
Bring It Home Miami,https://knightfoundation.org/grants/5531,,10/01/2012 - 09/30/2014,"$ 45,000.00",Arts,Knight Arts Challenge,"To celebrate native talent by presenting a Bring it Home Miami series at the South Dade Cultural Center featuring artists from South Florida who have developed national and international reputations.

	To celebrate native talent, the Miami-Dade County Department of Cultural Affairs will present a Bring It Home Miami series at the South Miami-Dade Cultural Center. Featuring artists from South Florida who have developed national and international reputations, it will honor and welcome talented alumni back “home.” The series seeks to kindle community pride among South Floridians around the accomplishments of its homegrown talent.

	The Miami-Dade County Department of Cultural Affairs and its volunteer advisory board, the Cultural Affairs Council, develop cultural excellence, diversity and participation throughout Miami-Dade County by strategically creating and promoting opportunities for artists and cultural organizations, and all of our residents and visitors who are their audiences.",Miami-Dade County Department of Cultural Affairs
Arts Garage Jazz Project,https://knightfoundation.org/grants/5534,,10/01/2012 - 09/30/2014,"$ 30,000.00",Arts,Knight Arts Challenge,"To facilitate an exchange of art and ideas by presenting contemporary musical performances, films and visual art exhibitions at a Palm Beach collaborative.

	The Creative City Collaborative will facilitate an exchange of art and ideas by presenting contemporary musical performances, feature films, visual art exhibitions and new theater productions at a Palm Beach collaborative.  The project will continue its signature repertoire series and add special new programming, including performance that will highlight regional emerging artists. Arts Garage will also partner with regional cultural arts organizations to produce new plays and expand its educational programs.

	The Arts Garage mission is to build and promote the cultural community that celebrates Delray Beach, and to be the instrument for Delray Beach as the international cultural destination for artists and patrons.",Creative City Collaborative of Delray Beach
Free Concerts Make Miami a Musical Destination,https://knightfoundation.org/grants/5536,,10/01/2012 - 11/30/2014,"$ 140,000.00",Arts,Knight Arts Challenge,"To help make Miami a musical destination by providing a stipend for touring acts to provide free or affordable concerts for an all-ages crowd.

	To help make Miami a musical destination, Sweat Records will provide a stipend for touring acts to provide free or affordable concerts for an all-ages crowd.  The project will increase the number of quality events it brings to the community and will host and pay more touring acts to visit. Sweat Records will also revamp its stage area with new sound equipment, a simple lighting rig and seating for more patrons. Concerts will be documented via audio, video and photography. Highlights will be posted online and performers will get high quality footage for promotional use.

	Sweat Records was founded in 2005 to fulfill the dual missions of providing Miami with a world-class record store and to be a unifying entity for South Florida's independent music scene.",Sweat Records
Big Night in Little Haiti Gets Bigger,https://knightfoundation.org/grants/5545,,10/01/2012 - 09/30/2015,"$ 120,000.00",Arts,Knight Arts Challenge,"To introduce new audiences to Haitian music by expanding the successful, one-year-old Big Night in Little Haiti concert and art series.

	To continue the growth of Little Haiti as a cultural and entertainment destination, and to introduce new audiences to Haitian music, The Rhythm Foundation will expand its successful Big Night in Little Haiti monthly concert series.  A previous Knight Arts Challenge winner, the project offers free concerts, art exhibits, food and kids activities on the third Friday of each month at the Little Haiti Cultural Center. The growth involves the collaboration of civic, institutional and media partners who can provide additional outreach activities, documentation and broadcast reach, in addition to special events within the series.

	Rhythm Foundation is a nonprofit organization celebrating its 24th season of presenting outstanding international artists in South Florida. It is considered the foremost presenter of world music in South Florida – presenting more than 500 concerts, events and festivals by established and innovative artists from around the world.",Rhythm Foundation
A Three-Day Art Hackathon,https://knightfoundation.org/grants/5547,,10/01/2012 - 11/30/2013,"$ 30,000.00",Arts,Knight Arts Challenge,"To bolster innovation in the arts by bringing together creative professionals and techies for a three-day art hackathon, where they will develop apps and websites that answer one question: how do we enhance the delivery of local art to users?

	The LAB Miami will bolster innovation in the arts by bringing together creative professionals and techies for a three-day art hackathon. During the event, coders and designers will develop apps and websites that answer one question: how do we enhance the delivery of local art to users? The project seeks to bridge Miami’s tech and creative communities. A product demo will be open to the public on the final day of the event. Other programming for the hackathon includes keynote speeches by tech and creative leaders and a mentor system to coach teams.

	The LAB Miami Innovation Campus is a center for technology, design and social enterprise. Composed of working space, education platform, gallery, pop-up shop and cafe, The LAB Miami is a place to learn, act and build. Through this shared space concept, entrepreneurs are easily able to collaborate, cocreate and connect, thus improving their practice and developing effective networks. The LAB Miami is also committed to providing a cutting-edge educational platform. Its mission is to drive entrepreneurial growth and generate positive social impact at the local, national and international levels.",LAB Miami
College Hill Innovation Corridor,https://knightfoundation.org/grants/5562,,10/01/2012 - 09/30/2015,"$ 2,261,000.00",Communities,,"To establish an ""Innovation Corridor"" that will attract and retain entrepreneurial businesses and individuals who will help revitalize downtown

	Knight Foundation announced a $2,261,000 grant to Mercer University to continue the work of the College Hill Alliance. This follows Knight’s 2009 investment of $2 million that has been leveraged with $24 million of additional private and public funding to redevelop this Intown Macon neighborhood.

The results of the first three years of the College Hill Alliance’s work are impressive. In partnership with the Knight Neighborhood Challenge, managed by the Community Foundation of Central Georgia, we’ve discovered what we intuitively always knew - that the answers to Macon’s challenges, and the key to our shared future, come from within our own community.

	College Hill is more than a location - it’s a movement. And in addition to creating a sense of place, the thing that makes College Hill different from most neighborhood revitalization efforts is that it is nurturing new leaders at every level.  Developing what I call “everyday leaders”: young, not so young, new people to town, folks who have always been here but not had the opportunity to make a difference. Now they are. College Hill is creating a sense of belonging.",Mercer University
Borscht Film Festival,https://knightfoundation.org/grants/5631,,10/01/2012 - 09/30/2017,"$ 500,000.00",Arts,Knight Arts Challenge,"To create the Miami Independent Cinema Fund, to help the Borscht Film Festival make Miami a center for independent filmmaking",The Miami Foundation
LocalData,https://knightfoundation.org/grants/5670,,10/01/2012 - 09/30/2014,"$ 300,000.00",Technology,Knight News Challenge,"Providing a set of tools that communities can use to collect data on paper or via a smartphone app, then export or visualize the data via an easy-to-use dashboard. The city of Detroit has used the tools, created by Code for America fellows, to track urban blight.

LocalData is a combination of several things. It provides for the collection, organization, and visualization of information in one continuous system. It’s designed to be used beginning at the street level: City workers or community members can either use an app to register information directly or scan paper documentation into the system. From there the information can be exported into different formats for display or analysis.",Amplify Labs
Captricity,https://knightfoundation.org/grants/4975,,09/14/2012 - 09/14/2013,$ 0.00,"Technology, Journalism",Knight Enterprise Fund,"Captricity is an award-winning cloud-based service that turns paper information into digital data more easily, quickly, and cheaply than existing alternatives. The company was founded in 2011 by Kuang Chen and Jeff J. Lin. For more information, please visit http://captricity.com/press-center.",Captricity
Knight Miami Art Student Travel Fund,https://knightfoundation.org/grants/5639,,09/01/2012 - 08/31/2017,"$ 1,000,000.00",Arts,Knight Arts Challenge,"To create the Knight Miami Art Student Travel Fund, in support of experiential learning opportunities, critical to the personal growth and artistic development of Miami's young talents, at Design and Architecture High School (DASH) and New World School for the Arts (NWSA).",The Miami Foundation
Knight Ideas Fund at the Wolfsonian-FIU,https://knightfoundation.org/grants/5646,,09/01/2012 - 08/31/2017,"$ 5,000,000.00",Arts,Knight Arts Challenge,"To create the Knight Ideas Fund, to support innovative programming at the Wolfsonian focused on increasing digital and physical access to the collection including the creation of an ""Ideas"" event.",The Miami Foundation
Mexican Heritage Corporation,https://knightfoundation.org/grants/5594,,09/01/2012 - 08/31/2013,"$ 10,000.00",Arts,,"To support the development of new works and professional development for the Mexican folkloric dance group, Los Lupeños",Mexican Heritage Corporation
MassINC,https://knightfoundation.org/grants/5604,,09/01/2012 - 08/31/2013,"$ 150,000.00","Technology, Journalism",,To support a regional media network that will increase the public affairs and investigative reporting capacity of nine community newspapers,The Massachusetts Institute for a New Commonwealth
Independent Sector Annual Conference,https://knightfoundation.org/grants/5644,,09/01/2012 - 08/31/2013,"$ 10,000.00",Communities,,"To support the John W. Gardner Award Dinner, which this year honors Jeff Skoll, during the 2012 Independent Sector Annual Conference",Independent Sector
San Jose Taiko Group,https://knightfoundation.org/grants/5583,,09/01/2012 - 08/31/2013,"$ 10,000.00",Arts,,To support the exploration and unique presentation of artistic partnerships between San Jose Taiko and various technologists,San Jose Taiko Group
Miami City Ballet,https://knightfoundation.org/grants/5599,,09/01/2012 - 08/31/2013,"$ 250,000.00",Arts,,To support four programs aimed at ensuring a sustainable financial future for Miami City Ballet,Miami City Ballet
Sourcemap,https://knightfoundation.org/grants/5602,,09/01/2012 - 11/30/2012,"$ 20,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To develop a farm-to-table traceability system for school food, built on the Sourcemap platform","Sourcemap, Inc."
FUNDarte,https://knightfoundation.org/grants/5597,,09/01/2012 - 08/31/2013,"$ 50,000.00",,,"To support the presentation of three Latino-focused plays, produced by FUNDarte in collaboration with local and international artists","FUNDarte, Inc."
Truthteller,https://knightfoundation.org/grants/5603,,09/01/2012 - 01/31/2013,"$ 50,000.00",Technology,Knight Prototype Fund: Arts and Technology,To prototype an application that fact checks speeches and other live content in real time and delivers relevant information to viewers,The Washington Post Company
The 567 Center,https://knightfoundation.org/grants/5588,,08/01/2012 - 07/31/2013,"$ 7,500.00",Arts,,To support the development of an arts education program at The 567 Center in downtown Macon,The 567 Center for Renewal
Choice & Chance: John Cage Centennial,https://knightfoundation.org/grants/5590,,08/01/2012 - 07/31/2013,"$ 250,000.00",Arts,,"To support the production of Choice & Chance, A John Cage Centennial Festival",New World Symphony
Harvey B. Gantt Center Exhibits,https://knightfoundation.org/grants/5592,,08/01/2012 - 07/31/2014,"$ 50,000.00",Arts,,To support Gantt Center exhibits and programming in 2013 including the exhibition of Church Hats; works by Jonathan Green; and Question Bridge: Black Males,Afro-American Cultural Center Inc.
Macon Content Digitization Project,https://knightfoundation.org/grants/5316,,08/01/2012 - 07/31/2013,"$ 247,000.00",Communities,,To pilot in Macon a new way for libraries to engage patrons by digitizing its unique local materials and creating new digital content from it,Jefferson Institute
